year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2053,5157018.574062932,5661798.773523804,8130448.569899154,8512775.765147999,8868364.354017548,4287606.057282772,4792386.256743643,7261036.053118994,7643363.248367839,7998951.837237389
2054,5333943.203015381,6254876.26195781,7604919.976233562,9103617.594003877,9845127.897342084,4438448.310731816,5359381.369674246,6709425.083949998,8208122.70172031,8949633.00505852
2055,5863060.808442559,6888615.954504164,7631745.8300049305,9325720.519651253,10417235.255847087,4940701.069390488,5966256.215452094,6709386.090952858,8403360.78059918,9494875.516795015
2056,6235223.63151119,7436604.857576408,8303252.5579950465,9774921.406910442,10572504.238365501,5285193.100287557,6486574.326352775,7353222.026771412,8824890.875686808,9622473.707141867
2057,6867368.049260028,7774869.829531226,9066853.008696973,9696379.782306002,10494204.09332881,5888836.602099685,6796338.382370884,8088321.561536629,8717848.33514566,9515672.646168467
2058,7602940.974237598,8675525.107239392,9637163.278151803,10273753.021384357,10660590.47189955,6595053.583662445,7667637.716664238,8629275.887576647,9265865.630809203,9652703.081324397
2059,8395944.807944769,9067652.622057578,10739115.566449672,10935739.757382454,11478693.220610935,7357820.795652362,8029528.60976517,9700991.554157265,9897615.745090047,10440569.208318528
2060,8847916.861585626,9899554.170501906,11315766.760955837,11905816.970255125,12680896.284892553,7778649.128924446,8830286.437840726,10246499.028294656,10836549.237593945,11611628.552231373
2061,8562505.4179301,10712717.46086092,11859344.735420698,12996738.569975495,13660122.757406326,7461159.653289085,9611371.696219904,10757998.970779683,11895392.805334479,12558776.992765311
2062,9464976.725887498,11052320.227187578,13118926.889400482,13819771.399927285,14267809.466112655,8330590.588307253,9917934.089607332,11984540.751820236,12685385.262347039,13133423.328532409
